_2011CandidateDonations_Id,UserName,LoginCode,CandidateName_First,CandidateName_Last,CandidateName_Prefix,Electorate,Party,TotalDonationsACD,TotalPartA,TotalPartACalculated,PartATotalsMatch,TotalPartB,TotalPartC,TotalPartDCalculated,PartCTotalsMatch,TotalPartD,TotalPartDCalculated2,PartDTotalsMatch,TotalCandidateExpensesPartsABCD,Part2CandidateExpenses_TotalExpenses,Entry_Status,Entry_DateCreated,Entry_DateSubmitted,Entry_DateUpdated
380,Evie Mcgruddy,d23,Andrew,McMillan,,Rangitata,United Future,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$2,738.44","$2,738.44",Submitted,21/11/2024 10:11 PM,21/11/2024 10:11 PM,21/11/2024 10:11 PM
379,Evie Mcgruddy,d23,Damian,Light,,North Shore,United Future,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$0.00,Submitted,21/11/2024 10:10 PM,21/11/2024 10:10 PM,21/11/2024 10:10 PM
378,Evie Mcgruddy,d23,Steve,Graf,,Coromandel,United Future,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$0.00,Submitted,21/11/2024 10:09 PM,21/11/2024 10:09 PM,21/11/2024 10:09 PM
377,Evie Mcgruddy,d23,Clyde,Graf,,West Coast-Tasman,United Future,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$0.00,Submitted,21/11/2024 10:08 PM,21/11/2024 10:08 PM,21/11/2024 10:08 PM
376,Evie Mcgruddy,d23,Martin,Gibson,,East Coast,United Future,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$0.00,Submitted,21/11/2024 10:07 PM,21/11/2024 10:07 PM,21/11/2024 10:07 PM
375,Evie Mcgruddy,d23,Peter,George,,Dunedin North,United Future,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$3,245.33","$3,245.33",Submitted,21/11/2024 10:05 PM,21/11/2024 10:05 PM,21/11/2024 10:05 PM
374,Evie Mcgruddy,d23,Ian Camden,Gaskin,,Wigram,United Future,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$837.20,$837.20,Submitted,21/11/2024 10:04 PM,21/11/2024 10:04 PM,21/11/2024 10:04 PM
373,Evie Mcgruddy,d23,Mohamed Sultan,Eusoff,,Palmerston North,United Future,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$588.80,$588.80,Submitted,21/11/2024 9:47 PM,21/11/2024 9:47 PM,21/11/2024 9:47 PM
372,Evie Mcgruddy,d23,Rob,Eaddy,,Hutt South,United Future,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$0.00,Submitted,21/11/2024 9:45 PM,21/11/2024 9:45 PM,21/11/2024 9:45 PM
371,Evie Mcgruddy,d23,Peter,Dunne,,Ōhāriu,United Future,"$10,000.00","$10,000.00","$10,000.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$24,608.20","$24,608.20",Submitted,21/11/2024 9:44 PM,21/11/2024 9:44 PM,21/11/2024 9:44 PM
370,Evie Mcgruddy,d23,Steven,Dromgool,,Northcote,United Future,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$0.00,Submitted,21/11/2024 9:40 PM,21/11/2024 9:40 PM,21/11/2024 9:40 PM
369,Evie Mcgruddy,d23,Brian H,Carter,,Bay of Plenty,United Future,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$0.00,Submitted,21/11/2024 9:39 PM,21/11/2024 9:39 PM,21/11/2024 9:39 PM
368,Evie Mcgruddy,d23,Diane,Brown,,Ōtaki,United Future,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$0.00,Submitted,21/11/2024 9:22 PM,21/11/2024 9:22 PM,21/11/2024 9:22 PM
367,Evie Mcgruddy,d23,Warren,Voight,,Dunedin South,The New Zealand Democratic Party for Social Credit,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$3,990.00","$3,990.00",Submitted,21/11/2024 9:18 PM,21/11/2024 9:18 PM,21/11/2024 9:18 PM
366,Evie Mcgruddy,d23,Hessel,Van Wieren,,Waitaki,The New Zealand Democratic Party for Social Credit,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$1,152.76","$1,152.76",Submitted,21/11/2024 9:17 PM,21/11/2024 9:17 PM,21/11/2024 9:17 PM
365,Evie Mcgruddy,d23,Heather Marion,Smith,,Whanganui,The New Zealand Democratic Party for Social Credit,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$150.00,$150.00,Submitted,21/11/2024 9:15 PM,21/11/2024 9:15 PM,21/11/2024 9:15 PM
364,Evie Mcgruddy,d23,Katherine,Ransom,,Tauranga,The New Zealand Democratic Party for Social Credit,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$76.00,$76.00,Submitted,21/11/2024 9:14 PM,21/11/2024 9:14 PM,21/11/2024 9:14 PM
363,Evie Mcgruddy,d23,Barry,Pulford,,Tukituki,The New Zealand Democratic Party for Social Credit,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$0.00,Submitted,21/11/2024 9:13 PM,21/11/2024 9:13 PM,21/11/2024 9:13 PM
362,Evie Mcgruddy,d23,Les,Port,,Hamilton West,The New Zealand Democratic Party for Social Credit,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$176.54,$176.54,Submitted,21/11/2024 9:12 PM,21/11/2024 9:12 PM,21/11/2024 9:12 PM
361,Evie Mcgruddy,d23,John,Pemberton,,Waikato,The New Zealand Democratic Party for Social Credit,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$435.55,$435.55,Submitted,21/11/2024 9:10 PM,21/11/2024 9:10 PM,21/11/2024 9:10 PM
360,Evie Mcgruddy,d23,Jeremy,Noble,,Dunedin North,The New Zealand Democratic Party for Social Credit,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$4,075.33","$4,075.33",Submitted,21/11/2024 9:09 PM,21/11/2024 9:09 PM,21/11/2024 9:09 PM
359,Evie Mcgruddy,d23,Huia,Mitchell,,Hunua,The New Zealand Democratic Party for Social Credit,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$1,190.80","$1,190.80",Submitted,21/11/2024 9:08 PM,21/11/2024 9:08 PM,21/11/2024 9:08 PM
358,Evie Mcgruddy,d23,Robert,Mills,,Clutha-Southland,The New Zealand Democratic Party for Social Credit,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$792.20,$792.20,Submitted,21/11/2024 9:07 PM,21/11/2024 9:07 PM,21/11/2024 9:07 PM
357,Evie Mcgruddy,d23,Carolyn,McKenzie,,Hamilton East,The New Zealand Democratic Party for Social Credit,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$1,381.54","$1,381.54",Submitted,21/11/2024 9:06 PM,21/11/2024 9:06 PM,21/11/2024 9:06 PM
356,Evie Mcgruddy,d23,John,McCaskey,,Kaikōura,The New Zealand Democratic Party for Social Credit,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$1.00,$1.00,Submitted,21/11/2024 9:04 PM,21/11/2024 9:04 PM,21/11/2024 9:04 PM
355,Evie Mcgruddy,d23,Edgar Kenneth,Goodhue,,Whangārei,The New Zealand Democratic Party for Social Credit,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$653.58,$653.58,Submitted,21/11/2024 9:02 PM,21/11/2024 9:02 PM,21/11/2024 9:02 PM
354,Evie Mcgruddy,d23,Stephnie,De Ruyter,,Invercargill,The New Zealand Democratic Party for Social Credit,"$5,000.00","$5,000.00","$5,000.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$6,209.70","$6,209.70",Submitted,21/11/2024 8:59 PM,21/11/2024 8:59 PM,21/11/2024 8:59 PM
353,Evie Mcgruddy,d23,Mary,O'Neill,,Napier,Alliance Party,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$425.00,$425.00,Submitted,21/11/2024 8:53 PM,21/11/2024 8:53 PM,21/11/2024 8:53 PM
352,Evie Mcgruddy,d23,Kay,Murray,,Dunedin South,Alliance Party,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$343.23,$343.23,Submitted,21/11/2024 8:52 PM,21/11/2024 8:52 PM,21/11/2024 8:52 PM
351,Evie Mcgruddy,d23,Kevin Thomas,Campbell,,Wigram,Alliance Party,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$11,483.99","$11,483.99",Submitted,21/11/2024 8:50 PM,21/11/2024 8:50 PM,21/11/2024 8:50 PM
350,Evie Mcgruddy,d23,Kelly,Buchanan,,Wellington Central,Alliance Party,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$394.33,$394.33,Submitted,21/11/2024 8:49 PM,21/11/2024 8:49 PM,21/11/2024 8:49 PM
349,Evie Mcgruddy,d23,Victor,Billot,,Dunedin North,Alliance Party,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$126.60,$126.60,Submitted,21/11/2024 8:47 PM,21/11/2024 8:47 PM,21/11/2024 8:47 PM
348,Evie Mcgruddy,d23,Robert,Wansink,,Dunedin South,Restore All Things in Christ,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$0.00,Submitted,21/11/2024 8:20 PM,21/11/2024 8:20 PM,21/11/2024 8:20 PM
347,Evie Mcgruddy,d23,Bruce,Kingsbury,,Hamilton East,Pirate Party of New Zealand,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$150.00,$150.00,Submitted,21/11/2024 8:15 PM,21/11/2024 8:15 PM,21/11/2024 8:15 PM
346,Evie Mcgruddy,d23,Tubby,Hansen,,Wigram,NZ Economic Euthenics Party,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$0.00,Submitted,21/11/2024 8:09 PM,21/11/2024 8:09 PM,21/11/2024 8:09 PM
