CandidateDonations2023Test_Id,UserName,LoginCode,CandidateName_First,CandidateName_Last,CandidateName_Prefix,Electorate,Party,TotalDonationsACD,TotalExpensesFG,TotalPartA,TotalPartACalculated,PartATotalsMatch,TotalPartB,TotalPartC,TotalPartDCalculated,PartCTotalsMatch,TotalPartD,TotalPartDCalculated2,PartDTotalsMatch,TotalPartFCandidateOnlyExpenses,TotalPartGSharedExpenses,TotalPartH,TotalPartHCalculated,PartHTotalsMatch,Entry_Status,Entry_DateCreated,Entry_DateSubmitted,Entry_DateUpdated
497,Bryce Edwards,d23,Fred,Roberts,,Taieri,New Zealand Loyal,$0.00,"$3,579.02",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$2,853.44",$725.58,$0.00,$0.00,No,Submitted,22/05/2024 8:59 PM,22/05/2024 8:59 PM,22/05/2024 8:59 PM
496,Bryce Edwards,d23,Anne,Perratt,,Tāmaki,New Zealand Loyal,"$1,700.00","$3,809.12","$1,700.00","$1,700.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$3,683.08",$126.04,$0.00,$0.00,No,Submitted,22/05/2024 8:48 PM,22/05/2024 8:48 PM,22/05/2024 8:48 PM
495,Bryce Edwards,d23,Steve,Oliver,,New Lynn,New Zealand Loyal,$0.00,$979.73,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$979.73,$0.00,$0.00,No,Submitted,22/05/2024 9:29 AM,22/05/2024 9:29 AM,22/05/2024 9:29 AM
494,Bryce Edwards,d23,Chris,Newman,,Upper Harbour,New Zealand Loyal,$0.00,"$1,480.53",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$1,359.78",$120.75,$0.00,$0.00,No,Submitted,22/05/2024 9:27 AM,22/05/2024 9:27 AM,22/05/2024 9:27 AM
493,Bryce Edwards,d23,Sebastian,Marinkovich,,West Coast-Tasman,New Zealand Loyal,$0.00,"$3,245.15",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$2,933.99",$311.16,$0.00,$0.00,No,Submitted,22/05/2024 9:26 AM,22/05/2024 9:26 AM,22/05/2024 9:26 AM
492,Bryce Edwards,d23,Steve,Lawton,,Dunedin,New Zealand Loyal,"$4,250.00","$6,038.03","$4,250.00","$4,250.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$5,908.20",$129.83,$0.00,$0.00,No,Submitted,22/05/2024 8:59 AM,22/05/2024 8:59 AM,22/05/2024 8:59 AM
491,Bryce Edwards,d23,David,Kowalewski,,Invercargill,New Zealand Loyal,"$11,444.50","$14,425.20","$11,444.50","$11,444.50",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$2,184.51","$12,240.69",$0.00,$0.00,No,Submitted,22/05/2024 8:56 AM,22/05/2024 8:56 AM,22/05/2024 8:56 AM
490,Bryce Edwards,d23,Donna,Kouka,,Papakura,New Zealand Loyal,$0.00,"$1,980.04",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,"$1,980.04",$0.00,$0.00,No,Submitted,22/05/2024 8:46 AM,22/05/2024 8:46 AM,22/05/2024 8:46 AM
489,Bryce Edwards,d23,Rob,Hulman,,Tukituki,New Zealand Loyal,"$5,500.00","$6,455.33","$5,500.00","$5,500.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$6,404.85",$50.48,$0.00,$0.00,No,Submitted,22/05/2024 8:44 AM,22/05/2024 8:44 AM,22/05/2024 8:44 AM
488,Bryce Edwards,d23,Dean,Grant,,Palmerston North,New Zealand Loyal,$0.00,"$2,406.57",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,"$2,406.57",$0.00,$0.00,No,Submitted,22/05/2024 8:37 AM,22/05/2024 8:37 AM,22/05/2024 8:37 AM
